DEBUG: first line: .............XXO...AAO.P.B.O.P.BCC.P
A Star algorithm: start_node - <GameState.GameState object at 0x0000001FD8ADAF98>, graph - 
The solution was found: .B.....B........XX.AAO.P...O.PCC.O.P
         86737 function calls (86664 primitive calls) in 0.268 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
     1316    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      149    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        9    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
        6    0.000    0.000    0.000    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
       81    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      312    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}


